City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,Birin,26.8865,88.0718,40.64,80,6,3.53,NP,2023-01-16 21:09:27
311,Fare,-16.7,-151.0167,77.99,74,98,8.77,PF,2023-01-16 21:09:28
312,Rawson,-43.3002,-65.1023,69.31,46,63,17.09,AR,2023-01-16 21:09:28
313,Kruisfontein,-34.0033,24.7314,71.89,93,100,11.48,ZA,2023-01-16 21:09:29
314,Port Lincoln,-34.7333,135.8667,74.19,65,98,7.56,AU,2023-01-16 21:09:29
315,Presidencia Roque Saenz Pena,-26.7852,-60.4388,97.92,17,15,4.83,AR,2023-01-16 21:09:30
316,Visby,57.6409,18.296,39.06,100,20,8.05,SE,2023-01-16 21:10:30
317,Vilyuysk,63.7553,121.6247,-44.21,100,100,2.19,RU,2023-01-16 21:10:30
318,Lompoc,34.6391,-120.4579,57.69,81,75,17.27,US,2023-01-16 21:10:31
319,Gladstone,-23.85,151.25,71.53,83,40,10.36,AU,2023-01-16 21:08:57
320,Talnakh,69.4865,88.3972,-35.21,86,3,4.27,RU,2023-01-16 21:08:11
321,Parfino,57.9731,31.6481,32.59,91,100,8.43,RU,2023-01-16 21:10:31
322,Surin,14.8818,103.4936,65.03,72,49,9.17,TH,2023-01-16 21:10:32
323,Ofunato,39.0717,141.7167,30.94,59,10,9.44,JP,2023-01-16 21:10:32
324,Kapit,2.0167,112.9333,71.13,99,63,0.58,MY,2023-01-16 21:10:33
325,Lasa,46.6166,10.7002,27.7,94,92,3.06,IT,2023-01-16 21:10:33
326,Marathon,44.9,-89.7668,34.84,94,100,6.91,US,2023-01-16 21:10:33
327,Sosnovka,56.255,51.2842,0.0,96,6,6.11,RU,2023-01-16 21:10:34
328,Trairi,-3.2778,-39.2689,79.2,75,100,8.81,BR,2023-01-16 21:08:55
329,Oktyabrskiy,54.4815,53.471,-3.35,84,6,5.03,RU,2023-01-16 21:10:34
330,Cabo San Lucas,22.8909,-109.9124,79.61,43,0,14.97,MX,2023-01-16 21:10:02
331,San Javier,37.8063,-0.8374,60.98,46,0,10.36,ES,2023-01-16 21:10:35
332,Taoudenni,22.6783,-3.9836,68.56,20,2,11.27,ML,2023-01-16 21:10:35
333,Zhangjiakou,40.81,114.8794,7.18,78,1,5.01,CN,2023-01-16 21:10:36
334,New Ulm,44.3125,-94.4605,36.43,95,100,8.05,US,2023-01-16 21:10:36
335,Storm Lake,42.6411,-95.2097,35.82,100,100,14.97,US,2023-01-16 21:10:36
336,Khromtau,50.2503,58.4347,-3.6,71,0,5.32,KZ,2023-01-16 21:10:37
337,Phaltan,17.9833,74.4333,66.38,42,7,4.56,IN,2023-01-16 21:10:37
338,Capaci,38.1711,13.2393,58.6,67,40,18.41,IT,2023-01-16 21:10:38
339,Tabou,4.423,-7.3528,80.1,80,14,7.16,CI,2023-01-16 21:10:38
340,Tupik,54.4253,119.9327,-35.46,99,99,0.65,RU,2023-01-16 21:10:39
341,Ouadda,8.0777,22.4007,70.63,28,46,6.31,CF,2023-01-16 21:10:39
342,Nizwa,22.9333,57.5333,64.42,53,85,3.6,OM,2023-01-16 21:10:39
343,Bangangte,5.1409,10.5198,66.15,42,65,3.98,CM,2023-01-16 21:10:40
344,Glen Allen,37.666,-77.5064,56.14,22,0,5.75,US,2023-01-16 21:06:37
345,Vestmannaeyjar,63.4427,-20.2734,26.26,67,4,12.53,IS,2023-01-16 21:10:40
346,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.51,76,100,7.76,BR,2023-01-16 21:10:41
347,Mingyue,43.1069,128.9217,-2.47,92,16,0.85,CN,2023-01-16 21:10:41
