City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Itacare,BR,76.35,broken clouds,-14.2775,-38.9967,Pousada Raisis
590,Buenavista,PH,75.16,overcast clouds,8.9769,125.4089,Hotel Casa Paulino
597,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Tara-Mé
602,Inhambane,MZ,78.62,broken clouds,-23.865,35.3833,Hotel de Inhambane
607,Rock Sound,BS,75.63,overcast clouds,24.9,-76.2,Rock Sound Club
616,Buritizeiro,BR,75.56,overcast clouds,-17.3511,-44.9622,Hotel Pousada Sertão Veredas
617,Ilhabela,BR,76.19,broken clouds,-23.7781,-45.3581,Vila Kebaya
619,Khartoum,SD,75.02,clear sky,15.5518,32.5324,تانا للشقق الفندقية
620,Vallenar,CL,75.54,clear sky,-28.5708,-70.7581,Hotel del Marqués
633,Boueni,YT,84.18,light rain,-12.9025,45.0761,La Case Robinson
636,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,Bella Casa Hotel
639,Mandera,KE,79.57,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
647,Caravelas,BR,75.87,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
661,Hukuntsi,BW,76.96,broken clouds,-24.0,21.75,Entabeni Hotel
677,Sokoni,TZ,80.78,overcast clouds,-6.4333,39.55,La Madrugada Beach Hotel
