City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Karasjok,NO,69.4719,25.5112,17.74,92,100,6.33,overcast clouds
157,Roald,NO,62.5833,6.1333,32.76,74,0,10.36,clear sky
158,Yabrud,SY,33.9674,36.6574,40.03,57,0,6.29,clear sky
159,Tirano,IT,46.2154,10.1679,31.41,91,95,4.9,overcast clouds
160,Sanpaul,RO,46.45,24.35,45.27,87,75,8.05,broken clouds
161,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.54,88,99,3.96,overcast clouds
162,Muskegon,US,43.3,-86.1334,40.86,90,100,5.75,mist
163,Grindavik,IS,63.8424,-22.4338,34.27,86,100,26.46,overcast clouds
164,North Myrtle Beach,US,33.816,-78.68,71.22,87,82,14.0,broken clouds
165,Veraval,IN,20.9,70.3667,65.07,47,44,10.96,scattered clouds
166,Ondarroa,ES,43.3167,-2.4167,52.54,88,88,16.46,overcast clouds
167,George,ZA,-33.963,22.4617,62.15,94,75,3.44,broken clouds
168,Piacabucu,BR,-10.4056,-36.4344,77.31,78,97,7.11,overcast clouds
169,Derzhavinsk,KZ,51.1,66.3167,-4.86,76,36,4.47,scattered clouds
170,Faya,SA,18.3851,42.4509,54.12,80,12,3.29,few clouds
171,Luanda,AO,-8.8368,13.2343,80.6,78,40,11.5,scattered clouds
172,Tabou,CI,4.423,-7.3528,79.88,83,47,6.49,scattered clouds
173,Barra Patuca,HN,15.8,-84.2833,78.01,82,9,11.72,clear sky
174,Souillac,MU,-20.5167,57.5167,77.38,94,75,6.91,heavy intensity rain
175,Karsava,LV,56.7841,27.6883,31.44,97,100,7.96,snow
176,Korla,CN,41.7597,86.1469,5.56,83,4,1.1,clear sky
177,Andenes,NO,69.3143,16.1194,33.93,69,75,17.27,broken clouds
178,Khor,RU,47.8861,134.9464,-15.84,100,100,3.13,overcast clouds
179,Wilmington,US,34.2257,-77.9447,68.0,74,96,8.01,overcast clouds
180,Bengkulu,ID,-3.8004,102.2655,72.37,93,100,4.09,overcast clouds
181,Munhall,US,40.3923,-79.9,55.22,77,41,5.93,scattered clouds
182,Tignere,CM,7.3667,12.65,67.8,25,27,2.35,scattered clouds
183,Pozo Colorado,PY,-23.4923,-58.7972,86.85,46,49,5.39,scattered clouds
184,Geraldton,AU,-28.7667,114.6,70.21,88,0,3.44,clear sky
185,Manicore,BR,-5.8092,-61.3003,70.81,98,100,1.92,heavy intensity rain
186,Cidreira,BR,-30.1811,-50.2056,74.28,87,78,13.58,broken clouds
187,Sabang,ID,5.8933,95.3214,80.17,76,100,17.09,overcast clouds
188,Adra,ES,36.7496,-3.0206,48.38,48,7,5.1,clear sky
189,Santa Quiteria,BR,-4.3319,-40.1567,75.29,81,86,2.77,light rain
190,Ayolas,PY,-27.4,-56.9,81.52,64,64,8.48,broken clouds
191,Marrakesh,MA,31.6315,-8.0083,51.87,62,0,8.05,clear sky
192,Peterhead,GB,57.5058,-1.7981,37.8,74,43,25.86,scattered clouds
193,El Vendrell,ES,41.2167,1.5333,52.79,74,99,8.01,overcast clouds
194,Margate,GB,51.3813,1.3862,35.69,81,20,1.99,few clouds
195,Tselinnoye,RU,53.0833,85.6667,10.62,94,100,12.24,light snow
196,Bahia Honda,CU,22.9036,-83.1592,75.99,67,61,7.7,broken clouds
197,Puerto Quijarro,BO,-17.7833,-57.7667,71.26,98,72,2.24,broken clouds
198,Loubomo,CG,-4.1997,12.6739,71.94,96,100,2.51,light rain
199,Sol-Iletsk,RU,51.1631,54.9918,0.52,85,5,5.57,clear sky
200,Puerto Colombia,CO,10.9878,-74.9547,82.49,83,69,20.69,broken clouds
201,Vila Velha,BR,-20.3297,-40.2925,78.75,89,75,6.91,broken clouds
202,Axim,GH,4.8699,-2.2405,79.61,86,56,6.08,broken clouds
203,Macaubas,BR,-13.0194,-42.6986,69.49,89,99,3.49,overcast clouds
204,Coari,BR,-4.085,-63.1414,72.52,97,97,3.49,moderate rain
205,Ornes,NO,66.8689,13.7078,30.04,79,91,10.13,overcast clouds
206,Mahibadhoo,MV,3.7833,72.9667,79.97,68,2,18.86,clear sky
207,Aksarka,RU,66.5606,67.7975,-9.24,100,50,3.67,scattered clouds
208,Coihaique,CL,-45.5752,-72.0662,89.55,14,0,6.91,clear sky
209,Brigantine,US,39.4101,-74.3646,48.4,96,100,6.91,mist
210,Pangody,RU,65.85,74.4859,-11.45,97,80,9.33,broken clouds
211,Ahtopol,BG,42.1,27.95,54.72,75,66,9.35,broken clouds
212,Manakara,MG,-22.1333,48.0167,76.41,90,100,13.27,moderate rain
213,Kano,NG,12.0001,8.5167,60.69,51,0,0.0,clear sky
214,Coronini,RS,44.68,21.6855,40.17,95,99,1.77,light rain
215,Saint Anthony,US,45.0205,-93.218,31.3,89,100,18.41,mist
216,Aranos,NA,-24.1333,19.1167,77.74,51,58,4.83,light rain
217,Asfi,MA,32.2994,-9.2372,52.68,70,0,19.37,clear sky
218,Srivardhan,IN,18.0333,73.0167,68.56,58,8,4.94,clear sky
219,Marzuq,YE,14.4,46.4667,57.04,62,26,3.27,scattered clouds
220,Yazd,IR,31.8972,54.3675,33.91,93,1,2.3,mist
221,Bilma,NE,18.6853,12.9164,65.12,16,20,7.58,few clouds
222,Mangrol,IN,21.1167,70.1167,64.67,52,66,8.86,broken clouds
223,Mitsamiouli,KM,-11.3847,43.2844,81.41,78,100,11.7,light rain
224,Bereda,ES,43.2686,-7.5406,52.14,100,100,3.8,overcast clouds
225,Sept-Iles,CA,50.2001,-66.3821,24.8,67,20,11.5,few clouds
226,Jobner,IN,26.9667,75.3833,53.02,45,60,8.57,broken clouds
227,Ormara,PK,25.2088,64.6357,64.44,53,89,15.08,overcast clouds
228,Takoradi,GH,4.8845,-1.7554,80.15,86,29,7.78,scattered clouds
229,Bocana De Paiwas,NI,12.7857,-85.1227,78.33,76,64,6.82,broken clouds
230,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.08,81,95,6.91,overcast clouds
231,Kudahuvadhoo,MV,2.6708,72.8944,80.71,73,26,16.96,scattered clouds
232,Santiago Del Estero,AR,-27.7951,-64.2615,99.68,24,0,5.66,clear sky
